Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.KillerID_Company_theme,Chrome 149.0.7827.200,KillerID_Company_theme 전체 case,,27-07-2026 08:43:09,27-07-2026 08:58:11,15m - 2.117s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9964_테마 편집모드 진입,Chrome 149.0.7827.200,"C9964_테마 편집모드 진입

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Theme' 탭을 클릭하세요
4. 'Edit' 버튼을 클릭하세요
5. Login Page Layout, Login Page Text, Login Text Color, Theme Background Color 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
Theme 탭의 모든 필드를 편집할 수 있습니다.",,27-07-2026 08:43:09,27-07-2026 08:43:53,43.221s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 08:43:10,27-07-2026 08:43:51,41.500s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 08:43:51,27-07-2026 08:43:52,0.458s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:43:52,27-07-2026 08:43:53,1.005s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:43:53,27-07-2026 08:43:53,0.003s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9965_New Login Page 설정,Chrome 149.0.7827.200,"C9965_New Login Page 설정

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Login Page Layout에서 'New Login Page' 라디오 버튼을 선택하세요
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 설정이 유지되는지 확인하세요

결과값
Login Page Layout이 'New Login Page'로 설정됩니다.",,27-07-2026 08:43:53,27-07-2026 08:44:28,35.768s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 08:43:53,27-07-2026 08:44:27,34.585s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 08:44:27,27-07-2026 08:44:28,0.415s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:44:28,27-07-2026 08:44:28,0.615s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:44:28,27-07-2026 08:44:28,0.003s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9966_Classic Login Page 설정,Chrome 149.0.7827.200,"C9966_Classic Login Page 설정

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Login Page Layout에서 'Classic (Old Login Page)' 라디오 버튼을 선택하세요
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 설정이 유지되는지 확인하세요

결과값
Login Page Layout이 'Classic (Old Login Page)'로 설정됩니다.",,27-07-2026 08:44:28,27-07-2026 08:45:16,47.962s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 08:44:29,27-07-2026 08:45:10,41.952s,PASSED
