Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.KillerID_Company_Domain Setting,Chrome 149.0.7827.200,,,27-07-2026 08:37:08,27-07-2026 08:43:06,5m - 57.894s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9953_도메인 설정 편집모드 진입,Chrome 149.0.7827.200,"C9953_도메인 설정 편집모드 진입

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Domain Setting' 탭을 클릭하세요
4. 'Edit' 버튼을 클릭하세요
5. Domain Name Format, Password Change Rule Setting, Days Limit, Session Duration 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
Domain Setting 탭의 모든 필드를 편집할 수 있습니다.",,27-07-2026 08:37:08,27-07-2026 08:37:32,23.888s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 08:37:08,27-07-2026 08:37:30,21.995s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 08:37:30,27-07-2026 08:37:31,0.440s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:37:31,27-07-2026 08:37:32,1.233s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:37:32,27-07-2026 08:37:32,0.002s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9954_도메인 이름 형식 변경,Chrome 149.0.7827.200,"C9954_도메인 이름 형식 변경

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Domain Setting 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Domain Name Format에서 원하는 형식을 선택하세요 (예: 'First Last (example: John Smith)' 또는 'Last First (example: Smith John)')
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 변경된 형식이 유지되는지 확인하세요

결과값
도메인 사용자의 이름이 설정된 형식에 따라 표시됩니다 (예: John Smith / Smith John)",,27-07-2026 08:37:32,27-07-2026 08:38:07,34.874s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 08:37:32,27-07-2026 08:38:06,33.431s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 08:38:06,27-07-2026 08:38:06,0.433s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 08:38:06,27-07-2026 08:38:07,0.861s,PASSED
