Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/KillerID_Company_Theme/C9969_로그인 텍스트 색상 변경,Chrome 149.0.7827.114,"C9969_로그인 텍스트 색상 변경

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Login Text Color 필드의 Hex Value를 변경하세요 (예: '#ff0000')
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 색상이 유지되는지 확인하세요

결과값
로그인 텍스트 색상이 설정된 색상으로 변경되고 도메인 로그인 페이지에 표시됩니다.",,16-06-2026 02:37:23,16-06-2026 02:38:43,1m - 20.003s,PASSED
"TARGET_HEX = ""ff0000""",Chrome 149.0.7827.114,,,16-06-2026 02:37:23,16-06-2026 02:37:23,0.000s,PASSED
"TARGET_COLOR = ""#"" + TARGET_HEX",Chrome 149.0.7827.114,,,16-06-2026 02:37:23,16-06-2026 02:37:23,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:37:23,16-06-2026 02:38:42,1m - 18.851s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:38:42,16-06-2026 02:38:42,0.461s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:38:42,16-06-2026 02:38:42,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:38:42,16-06-2026 02:38:43,0.563s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9970_로그인 텍스트 기본 색상 설정,Chrome 149.0.7827.114,"C9970_로그인 텍스트 기본 색상 설정

사전 조건
역할: 관리자
Login Text Color가 커스텀 색상으로 변경된 상태여야 합니다

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Login Text Color 옆의 'Default' 버튼을 클릭하세요
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 기본 색상(#ffffff)이 적용되는지 확인하세요

결과값
Login Text Color가 기본값 (#ffffff)으로 변경되고 도메인 로그인 페이지에 표시됩니다.",,16-06-2026 02:38:43,16-06-2026 02:39:19,35.817s,PASSED
"EXPECTED_DEFAULT = ""ffffff""",Chrome 149.0.7827.114,,,16-06-2026 02:38:43,16-06-2026 02:38:43,0.001s,PASSED
"EXPECTED_DEFAULT_COLOR = ""#"" + EXPECTED_DEFAULT",Chrome 149.0.7827.114,,,16-06-2026 02:38:43,16-06-2026 02:38:43,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:38:43,16-06-2026 02:39:18,34.777s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:39:18,16-06-2026 02:39:18,0.429s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:39:18,16-06-2026 02:39:18,0.001s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:39:18,16-06-2026 02:39:19,0.502s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9971_테마 배경색 변경,Chrome 149.0.7827.114,"C9971_테마 배경색 변경

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Theme Background Color 필드의 Hex Value를 변경하세요 (예: '#12120e')
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 색상이 유지되는지 확인하세요

결과값
테마 배경색이 설정된 색상으로 변경되고 도메인 로그인 페이지에 표시됩니다.",,16-06-2026 02:39:19,16-06-2026 02:40:09,49.978s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:39:19,16-06-2026 02:40:02,43.509s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:40:02,16-06-2026 02:40:08,5.786s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:40:08,16-06-2026 02:40:08,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:40:08,16-06-2026 02:40:09,0.597s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Theme/C9972_테마 배경 기본 색상 설정,Chrome 149.0.7827.114,"C9972_테마 배경 기본 색상 설정

사전 조건
역할: 관리자
Theme Background Color가 커스텀 색상으로 변경된 상태여야 합니다

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Theme 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Theme Background Color 옆의 'Default' 버튼을 클릭하세요
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 기본 배경색(#f1f1f1)이 적용되는지 확인하세요

결과값
Theme Background Color가 기본값 (#f1f1f1)으로 변경되고 도메인 로그인 페이지에 표시됩니다.",,16-06-2026 02:40:09,16-06-2026 02:40:54,45.642s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 02:40:09,16-06-2026 02:40:53,44.373s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 02:40:53,16-06-2026 02:40:54,0.425s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 02:40:54,16-06-2026 02:40:54,0.001s,PASSED
