Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.KillerID_Company_User,Chrome 149.0.7827.200,,,27-07-2026 09:14:34,27-07-2026 09:20:44,6m - 10.418s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10037_사용자 테이블 검증,Chrome 149.0.7827.200,"C10037 - 사용자 테이블 검증
TestRail: C10037 - Verify the User table

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 사용자 테이블이 표시되는지 확인하세요

결과값: 도메인 사용자들이 포함된 테이블이 표시됩니다.",,27-07-2026 09:14:34,27-07-2026 09:14:52,18.019s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:14:34,27-07-2026 09:14:51,16.547s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:14:51,27-07-2026 09:14:51,0.117s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:14:51,27-07-2026 09:14:52,1.104s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:14:52,27-07-2026 09:14:52,0.005s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10038_2SV ribbon 검증,Chrome 149.0.7827.200,"C10038 - 2SV ribbon 검증
TestRail: C10038 - Verify the 2SV ribbon

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 페이지 상단에 2SV 미설정 사용자 수 / 비율을 표시하는 ribbon 이 노출되는지 확인하세요
4. ribbon 의 'Click here to view the list' 링크를 클릭하세요

결과값: 2SV 가 설정되지 않은 사용자 목록이 필터되어 표시됩니다.",,27-07-2026 09:14:52,27-07-2026 09:15:10,17.793s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:14:52,27-07-2026 09:15:09,16.705s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:15:09,27-07-2026 09:15:09,0.129s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:09,27-07-2026 09:15:10,0.815s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:10,27-07-2026 09:15:10,0.002s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10039_2SV 미설정 사용자 목록 검증,Chrome 149.0.7827.200,"C10039 - 2SV 미설정 사용자 목록 검증
TestRail: C10039 - Verify the list of users without configured 2SV

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 2SV ribbon 의 'Click here to view the list' 링크를 클릭하세요
4. 필터된 사용자 목록을 확인하세요

결과값: 2SV 가 설정되지 않은 사용자만 테이블에 표시됩니다.",,27-07-2026 09:15:10,27-07-2026 09:15:30,20.189s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:15:10,27-07-2026 09:15:29,18.714s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:15:29,27-07-2026 09:15:29,0.089s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:29,27-07-2026 09:15:30,1.295s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:30,27-07-2026 09:15:30,0.002s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10040_키워드로 사용자 검색,Chrome 149.0.7827.200,"C10040 - 키워드로 사용자 검색
TestRail: C10040 - Search the user by the keyword

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 우상단 검색창에 사용자 키워드 (이름 또는 이메일 일부) 를 입력하세요
4. Search 버튼을 클릭하거나 Enter 키를 누르세요

결과값: 검색어와 일치하는 사용자만 테이블에 표시됩니다.",,27-07-2026 09:15:30,27-07-2026 09:15:50,20.287s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:15:30,27-07-2026 09:15:49,19.070s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:15:49,27-07-2026 09:15:49,0.091s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:49,27-07-2026 09:15:50,1.000s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:15:50,27-07-2026 09:15:50,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10041_이름순 정렬,Chrome 149.0.7827.200,"C10041 - 이름순 정렬
TestRail: C10041 - Sort the users by name

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 테이블의 'Name' 컬럼 헤더를 클릭하세요 (오름차순)
4. 다시 클릭하여 내림차순으로 전환하세요

결과값: 사용자가 이름 기준 오름차순/내림차순으로 알파벳 정렬됩니다.",,27-07-2026 09:15:50,27-07-2026 09:16:11,21.151s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:15:50,27-07-2026 09:16:10,19.587s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:16:10,27-07-2026 09:16:10,0.100s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:16:10,27-07-2026 09:16:11,1.379s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:16:11,27-07-2026 09:16:11,0.000s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10042_이메일순 정렬,Chrome 149.0.7827.200,"C10042 - 이메일순 정렬
TestRail: C10042 - Sort the users by email

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 테이블의 'Email' 컬럼 헤더를 클릭하세요 (오름차순)
4. 다시 클릭하여 내림차순으로 전환하세요

결과값: 사용자가 이메일 기준 오름차순/내림차순으로 정렬됩니다.",,27-07-2026 09:16:11,27-07-2026 09:16:32,20.590s,PASSED
try,Chrome 149.0.7827.200,,,27-07-2026 09:16:11,27-07-2026 09:16:31,19.521s,PASSED
Finally,Chrome 149.0.7827.200,,,27-07-2026 09:16:31,27-07-2026 09:16:31,0.091s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:16:31,27-07-2026 09:16:32,0.915s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.200,,,27-07-2026 09:16:32,27-07-2026 09:16:32,0.001s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10043_생성일자순 정렬,Chrome 149.0.7827.200,"C10043 - 생성일자순 정렬
TestRail: C10043 - Sort the users by creation date

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 테이블의 'Created' 컬럼 헤더를 클릭하세요 (오름차순)
4. 다시 클릭하여 내림차순으로 전환하세요

결과값: 사용자가 생성일자 기준 오름차순/내림차순으로 정렬됩니다.",,27-07-2026 09:16:32,27-07-2026 09:16:53,20.823s,PASSED
