Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.KillerID_Company_User,Chrome 149.0.7827.114,,,16-06-2026 03:07:42,16-06-2026 03:14:15,6m - 33.232s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10037_사용자 테이블 검증,Chrome 149.0.7827.114,"C10037 - 사용자 테이블 검증
TestRail: C10037 - Verify the User table

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 사용자 테이블이 표시되는지 확인하세요

결과값: 도메인 사용자들이 포함된 테이블이 표시됩니다.",,16-06-2026 03:07:42,16-06-2026 03:08:01,18.819s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:07:43,16-06-2026 03:08:00,17.450s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:08:00,16-06-2026 03:08:00,0.120s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:08:00,16-06-2026 03:08:00,0.015s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:08:00,16-06-2026 03:08:01,0.909s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10038_2SV ribbon 검증,Chrome 149.0.7827.114,"C10038 - 2SV ribbon 검증
TestRail: C10038 - Verify the 2SV ribbon

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 페이지 상단에 2SV 미설정 사용자 수 / 비율을 표시하는 ribbon 이 노출되는지 확인하세요
4. ribbon 의 'Click here to view the list' 링크를 클릭하세요

결과값: 2SV 가 설정되지 않은 사용자 목록이 필터되어 표시됩니다.",,16-06-2026 03:08:01,16-06-2026 03:08:20,19.121s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:08:01,16-06-2026 03:08:20,18.440s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:08:20,16-06-2026 03:08:20,0.103s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:08:20,16-06-2026 03:08:20,0.007s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:08:20,16-06-2026 03:08:20,0.376s,PASSED
,,,,,,,
