Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/KillerID_Company_Company Details/C9942(T88024)_테마 로고를 업로드하세요,Chrome 149.0.7827.114,"C9942_테마 로고를 업로드하세요
TestRail: C9942 (T88024) - Upload the Theme Logo

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Company Details 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Theme Logo 섹션에서 로고 이미지 파일을 업로드하세요
5. 'Save' 버튼을 클릭하세요
6. 도메인 로그인 페이지로 이동하세요
7. 업로드된 테마 로고가 로그인 페이지에 표시되는지 확인하세요

결과값
업로드된 테마 로고가 도메인 로그인 페이지에 표시됩니다.",,15-06-2026 09:16:35,15-06-2026 09:17:04,29.068s,PASSED
"logoFilePath = getProjectDir() + ""/Include/fixtures/sample_transparent_image.png""",Chrome 149.0.7827.114,,,15-06-2026 09:16:35,15-06-2026 09:16:35,0.001s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:16:35,15-06-2026 09:17:03,27.942s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:17:03,15-06-2026 09:17:03,0.492s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:17:03,15-06-2026 09:17:03,0.016s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:17:03,15-06-2026 09:17:04,0.529s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Company Details/C9943(T88025)_업로드된 테마 로고를 제거하세요,Chrome 149.0.7827.114,"C9943_업로드된 테마 로고를 제거하세요
TestRail: C9943 (T88025) - Remove the uploaded Theme Logo

사전 조건
역할: 관리자
테마 로고가 이미 업로드되어 있어야 합니다. (C9942 선행)

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Company Details 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Theme Logo 섹션에서 'Delete' 버튼을 클릭하세요
5. 'Save' 버튼을 클릭하세요
6. 도메인 로그인 페이지로 이동하세요
7. 테마 로고가 제거되고 기본 KillerID 로고가 표시되는지 확인하세요

결과값
테마 로고가 제거되고, KillerID 기본 로고가 도메인 로그인 페이지에 표시됩니다.",,15-06-2026 09:17:04,15-06-2026 09:17:33,29.158s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:17:04,15-06-2026 09:17:32,27.955s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:17:32,15-06-2026 09:17:32,0.484s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:17:32,15-06-2026 09:17:32,0.009s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:17:32,15-06-2026 09:17:33,0.626s,PASSED
,,,,,,,
