Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.KillerID_Company_Domain Setting,Chrome 149.0.7827.114,,,15-06-2026 09:18:40,15-06-2026 09:24:05,5m - 25.033s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9953_도메인 설정 편집모드 진입,Chrome 149.0.7827.114,"C9953_도메인 설정 편집모드 진입

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. 왼쪽 메뉴에서 'Company'를 클릭하세요
3. 'Domain Setting' 탭을 클릭하세요
4. 'Edit' 버튼을 클릭하세요
5. Domain Name Format, Password Change Rule Setting, Days Limit, Session Duration 등 모든 필드가 편집 가능한 상태인지 확인하세요

결과값
Domain Setting 탭의 모든 필드를 편집할 수 있습니다.",,15-06-2026 09:18:40,15-06-2026 09:19:04,24.502s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:18:40,15-06-2026 09:19:03,22.869s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:19:03,15-06-2026 09:19:03,0.482s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:19:03,15-06-2026 09:19:03,0.011s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:19:03,15-06-2026 09:19:04,0.821s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9954_도메인 이름 형식 변경,Chrome 149.0.7827.114,"C9954_도메인 이름 형식 변경

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Domain Setting 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Domain Name Format에서 원하는 형식을 선택하세요 (예: 'First Last (example: John Smith)' 또는 'Last First (example: Smith John)')
5. 'Save' 버튼을 클릭하세요
6. 페이지를 새로고침하고 변경된 형식이 유지되는지 확인하세요

결과값
도메인 사용자의 이름이 설정된 형식에 따라 표시됩니다 (예: John Smith / Smith John)",,15-06-2026 09:19:04,15-06-2026 09:19:40,35.292s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:19:04,15-06-2026 09:19:38,33.977s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:19:38,15-06-2026 09:19:39,0.428s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:19:39,15-06-2026 09:19:39,0.004s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:19:39,15-06-2026 09:19:40,0.782s,PASSED
,,,,,,,
Test Cases/KillerID_Company_Domain Setting/C9955_비밀번호 변경 규칙 활성화,Chrome 149.0.7827.114,"C9955_비밀번호 변경 규칙 활성화 및 기간을 1일로 설정

사전 조건
역할: 관리자

1. KillerID 대시보드에 관리자로 로그인하세요
2. Company > Domain Setting 탭으로 이동하세요
3. 'Edit' 버튼을 클릭하세요
4. Password Change Rule Setting에서 'On'을 선택하세요
5. Days Limit 필드에 '1'을 입력하세요
6. 'Save' 버튼을 클릭하세요
7. 페이지를 새로고침하고 설정이 유지되는지 확인하세요

결과값
Password Change Rule Setting이 활성화되고 기간이 1일로 설정됩니다. 사용자는 매 1일마다 비밀번호 변경을 요구받습니다.",,15-06-2026 09:19:40,15-06-2026 09:20:09,29.631s,PASSED
"INVALID_DAYS_VALUE = ""1""",Chrome 149.0.7827.114,,,15-06-2026 09:19:40,15-06-2026 09:19:40,0.001s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 09:19:40,15-06-2026 09:20:08,28.309s,PASSED
Finally,Chrome 149.0.7827.114,,,15-06-2026 09:20:08,15-06-2026 09:20:08,0.391s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:20:08,15-06-2026 09:20:08,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,15-06-2026 09:20:08,15-06-2026 09:20:09,0.813s,PASSED
,,,,,,,
