Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.KillerID_Company_User,Chrome 149.0.7827.114,,,16-06-2026 07:34:36,16-06-2026 07:41:23,6m - 46.912s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10037_사용자 테이블 검증,Chrome 149.0.7827.114,"C10037 - 사용자 테이블 검증
TestRail: C10037 - Verify the User table

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 사용자 테이블이 표시되는지 확인하세요

결과값: 도메인 사용자들이 포함된 테이블이 표시됩니다.",,16-06-2026 07:34:36,16-06-2026 07:34:56,19.649s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 07:34:36,16-06-2026 07:34:54,17.605s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 07:34:54,16-06-2026 07:34:54,0.126s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:34:54,16-06-2026 07:34:54,0.013s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:34:54,16-06-2026 07:34:56,1.579s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10038_2SV ribbon 검증,Chrome 149.0.7827.114,"C10038 - 2SV ribbon 검증
TestRail: C10038 - Verify the 2SV ribbon

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 페이지 상단에 2SV 미설정 사용자 수 / 비율을 표시하는 ribbon 이 노출되는지 확인하세요
4. ribbon 의 'Click here to view the list' 링크를 클릭하세요

결과값: 2SV 가 설정되지 않은 사용자 목록이 필터되어 표시됩니다.",,16-06-2026 07:34:56,16-06-2026 07:35:23,27.485s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 07:34:56,16-06-2026 07:35:22,26.019s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 07:35:22,16-06-2026 07:35:22,0.109s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:35:22,16-06-2026 07:35:22,0.004s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:35:22,16-06-2026 07:35:23,1.185s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10039_2SV 미설정 사용자 목록 검증,Chrome 149.0.7827.114,"C10039 - 2SV 미설정 사용자 목록 검증
TestRail: C10039 - Verify the list of users without configured 2SV

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 2SV ribbon 의 'Click here to view the list' 링크를 클릭하세요
4. 필터된 사용자 목록을 확인하세요

결과값: 2SV 가 설정되지 않은 사용자만 테이블에 표시됩니다.",,16-06-2026 07:35:23,16-06-2026 07:35:44,20.697s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 07:35:23,16-06-2026 07:35:42,18.975s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 07:35:42,16-06-2026 07:35:42,0.104s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:35:42,16-06-2026 07:35:42,0.001s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:35:42,16-06-2026 07:35:44,1.442s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10040_키워드로 사용자 검색,Chrome 149.0.7827.114,"C10040 - 키워드로 사용자 검색
TestRail: C10040 - Search the user by the keyword

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 우상단 검색창에 사용자 키워드 (이름 또는 이메일 일부) 를 입력하세요
4. Search 버튼을 클릭하거나 Enter 키를 누르세요

결과값: 검색어와 일치하는 사용자만 테이블에 표시됩니다.",,16-06-2026 07:35:44,16-06-2026 07:36:05,21.482s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 07:35:44,16-06-2026 07:36:04,20.128s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 07:36:04,16-06-2026 07:36:04,0.102s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:36:04,16-06-2026 07:36:04,0.003s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 07:36:04,16-06-2026 07:36:05,1.106s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10041_이름순 정렬,Chrome 149.0.7827.114,"C10041 - 이름순 정렬
TestRail: C10041 - Sort the users by name

사전 조건: 관리자 역할

1. KillerID 대시보드에 관리자로 로그인하세요
2. 'User' 탭으로 이동하세요
3. 테이블의 'Name' 컬럼 헤더를 클릭하세요 (오름차순)
4. 다시 클릭하여 내림차순으로 전환하세요

결과값: 사용자가 이름 기준 오름차순/내림차순으로 알파벳 정렬됩니다.",,16-06-2026 07:36:05,16-06-2026 07:36:27,21.778s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 07:36:05,16-06-2026 07:36:26,20.314s,PASSED
